Time,allItems,Food,Shelter,"Household operations, furnishings and equipment",Clothing and footwear,Transportation,Health and personal care,"Recreation, education and reading","Alcoholic beverages, tobacco products and recreational cannabis",YearGroup,IncreaseSpeed,IncreaseSpeedNormalized,MonthCPI,FoodMonthCPI,ShelterMonthCPI,HouseholdMonthCPI,ClothingMonthCPI,TransportationMonthCPI,HealthMonthCPI,RecreationMonthCPI,AlcoholicMonthCPI
18-Mar,127.4,138.6,121.3,119.4,105.8,139.3,119.1,123.6,150.2,3,0.003149606,0.42723744,0.031578947,0.018368846,0.035866781,0.019641332,0.035225049,0.045011253,0.014480409,0.036043588,0.048882682
18-Apr,127.7,139.5,121.9,120.5,106.3,139.8,119.5,120.5,153.8,3,0.002354788,0.397616468,0.033171521,0.021229868,0.041880342,0.029035013,0.025072324,0.054298643,0.028399312,-0.000829187,0.068797776
18-May,128.4,139.4,122.2,118.7,106.8,140.4,119.2,126.4,154,3,0.005481597,0.514145169,0.033816425,0.020497804,0.042662116,0.015397776,0.002816901,0.052473763,0.023175966,0.027642276,0.067221067
18-Jun,128.6,139.9,122.4,118.7,105.9,141.3,119.5,126.2,154.8,3,0.001557632,0.367908385,0.033762058,0.020423049,0.039932031,0.007640068,0.007611798,0.053691275,0.014431239,0.045567523,0.07425399
18-Jul,129.7,140.4,122.6,118.9,104,143.8,120.1,130,155.5,3,0.008553655,0.628633387,0.0376,0.016654598,0.040747029,0.004222973,-0.017941454,0.076347305,0.01607445,0.052631579,0.076124567
18-Aug,129.6,141.3,122.7,119.1,104.4,142.5,120.8,129.2,155.3,3,-0.00077101,0.281125457,0.03514377,0.020216606,0.037193576,0.00336984,0.00481232,0.06741573,0.021132713,0.042776433,0.071773637
18-Sep,128.9,140.4,123,119.8,108.4,139.1,120.2,126.6,156.3,3,-0.005401235,0.108568075,0.026273885,0.010071942,0.036225779,0.010970464,0.054474708,0.043510878,0.006700168,0.003965107,0.072016461
18-Oct,129.4,140.1,123.8,121,108.9,141.4,120.9,124,155.9,4,0.003878976,0.454419301,0.027799841,0.010093727,0.036850921,0.022823331,0.052173913,0.054436987,0.011715481,-0.01665345,0.069272977
18-Nov,128.9,140.9,124,120.9,107.7,139.4,119.3,122.3,156,4,-0.003863988,0.165857588,0.025457438,0.021014493,0.037656904,0.02893617,0.022792023,0.039522744,0.005902192,-0.018459069,0.066302119
18-Dec,129,142.1,124,120.4,103.9,141.6,119.5,121.6,155,4,0.000775795,0.338771184,0.027070064,0.033454545,0.030756442,0.018612521,-0.028971963,0.050445104,-0.00083612,0.009966777,0.059466849
19-Jan,129.1,143.4,124.7,120.1,103.4,139.2,120.2,122,157.2,4,0.000775194,0.338748772,0.025416998,0.040638607,0.033996683,0.016934801,-0.016175071,0.019033675,0.018644068,0.01582015,0.070115725
19-Feb,129.8,143.4,125,121,106.5,140.2,120.7,123.5,157.4,4,0.005422153,0.511929828,0.036741214,0.036876356,0.035625518,0.048526863,0.033980583,0.029368576,0.027234043,0.03956229,0.081043956
19-Mar,130.7,144.5,125.4,121,108.3,142.6,121,123.7,157.8,4,0.006933744,0.5682632,0.036478985,0.038074713,0.037220844,0.027164686,0.066995074,0.037845706,0.016806723,0.033416876,0.068381855
19-Apr,131.2,144,125.2,121.1,108.3,145.7,121.4,124.1,157.8,4,0.003825555,0.452428419,0.033070866,0.033740129,0.033856317,0.010851419,0.043352601,0.054269175,0.02274642,0.017213115,0.058350101
19-May,131.8,144.1,125.2,120.9,107.7,147,121.2,128.7,156.9,4,0.004573171,0.480290278,0.034536892,0.03968254,0.03215169,0.012562814,0.017958412,0.055276382,0.017632242,0.041262136,0.04460719
19-Jun,131.9,145,125.3,121.5,107,145.3,121.3,130.1,157.7,4,0.000758725,0.338135032,0.032889585,0.039426523,0.027891715,0.008298755,0.006585136,0.039341917,0.015062762,0.07966805,0.025357607
19-Jul,132.4,146.8,125.1,120.5,105.2,146.4,122.2,132.8,157.7,4,0.003790751,0.451131352,0.031152648,0.053084648,0.023731588,0.01516428,-0.014981273,0.042735043,0.025167785,0.050632911,0.024025974
19-Aug,132.2,146.9,125.1,120.5,106.4,145.9,122.2,131,156.3,4,-0.001510574,0.253563678,0.027993779,0.05003574,0.022058824,0.01516428,0.004721435,0.032554848,0.022594142,0.038034865,0.009689922
19-Sep,132,146.9,125.4,120.9,109.9,142.8,122.6,130.7,157,4,-0.001512859,0.253478511,0.017733231,0.046296296,0.022838499,0.016820858,0.056730769,-0.006954103,0.020815987,0.005384615,0.009646302
19-Oct,132.2,146.5,126,120.5,111.5,144.3,122.7,128.4,157.5,5,0.001515152,0.366325224,0.020061728,0.036801132,0.026894866,0.011754828,0.068007663,0.012631579,0.015728477,-0.00619195,0.01416613
19-Nov,131.8,147.6,126.2,120,112.3,142.9,122.9,125,158,5,-0.003025719,0.197097867,0.022498061,0.051282051,0.02601626,0.001669449,0.03597786,0.027318476,0.022462562,-0.012638231,0.01087652
19-Dec,131.7,147.5,126,119.7,108.4,145.1,122.3,124.5,156.9,5,-0.000758725,0.281583278,0.017774343,0.052819415,0.017770598,-0.010743802,-0.004591368,0.026166902,0.011579818,0.004032258,0.006414368
20-Jan,132.1,149.5,126.4,118.9,109.1,145.1,122.7,124.2,160,5,0.003037206,0.423048542,0.024825446,0.061036196,0.019354839,-0.016542597,0.012999071,0.040889527,0.028499581,0.015535568,0.025641026
20-Feb,132.9,148.7,126.8,119.9,110.1,146.3,123.3,126.7,160.4,5,0.006056018,0.535552452,0.030232558,0.046446165,0.022580645,-0.004152824,0.059672762,0.03319209,0.031799163,0.041940789,0.03483871
20-Mar,132.3,148.7,127,121.2,112.5,141.6,123.2,125.9,160.6,5,-0.004514673,0.141608114,0.024786987,0.036959554,0.018444266,0.009159034,0.088007737,0.017241379,0.024958403,0.031967213,0.021628499
20-Apr,131.2,148.8,126.7,121.7,104.2,138.2,124.3,124.5,161.1,5,-0.008314437,0,0.010785824,0.037656904,0.0136,0.005785124,-0.021596244,-0.014265335,0.029826015,0.008097166,0.023506989
20-May,131.5,149.7,126.1,120.1,102.9,141.6,124.5,125.6,160.3,5,0.002286585,0.395074717,0.006120888,0.035986159,0.005582137,-0.007438017,-0.049861496,-0.007012623,0.02892562,0.015359741,0.015842839
20-Jun,132.6,150.3,126.3,121,104.3,144.9,124.2,126.7,161,5,0.008365019,0.621603385,0.010670732,0.04375,0.008785942,-0.000825764,-0.036934441,-0.005490734,0.02306425,0.020950846,0.020278834
20-Jul,132.6,150.6,126.1,121.5,102.3,144.8,124.7,127.1,160.6,5,0,0.309859155,0.006069803,0.045107564,0.007188498,0.004962779,-0.050139276,-0.014965986,0.028877888,-0.012432012,0.023581899
20-Aug,132.4,149.4,126.5,121.5,104.5,143.3,125.8,126.9,160.8,5,-0.001508296,0.253648588,0.003790751,0.030344828,0.009577015,0,-0.023364486,-0.013764625,0.037098104,-0.024596464,0.019657578
20-Sep,132.5,149,127.4,121.5,106.1,141.9,126.4,126.9,159,5,0.000755287,0.338006893,0.000755287,0.014986376,0.018385292,0.008298755,0.008555133,-0.030737705,0.034369885,-0.044427711,0.0082435
20-Oct,132.9,149.4,128.8,121.6,107.3,141.9,126.5,126,158.6,6,0.003018868,0.422365134,0.005295008,0.01701838,0.029576339,0.009128631,0.008458647,-0.027416038,0.035188216,-0.038167939,0.014715291
20-Nov,133.3,150,129.2,121.7,109,142.2,127,125.4,158.3,6,0.003009782,0.422026516,0.009848485,0.021102791,0.03030303,0.006617039,-0.008189263,-0.004201681,0.03588907,-0.04055088,0.008280255
20-Dec,132.8,150.4,128.9,120.3,102.5,143.4,125.6,125.7,157.4,6,-0.003750938,0.170070687,0.004538578,0.02662116,0.023015873,-0.001659751,-0.080717489,-0.006237006,0.023634882,-0.021028037,-0.000634921
